,allegiance,killer,killers_house,location,method,name,episode_global_num,weights_simple
0,Night's Watch,White Walker,None,Beyond the Wall,Ice sword,Waymar Royce,1,0.9995503597122303
1,Night's Watch,White Walker,None,Beyond the Wall,Ice sword,Gared,1,0.9995503597122303
2,Night's Watch,Ned Stark,House Stark,Winterfell,Sword,Will,1,0.9995503597122303
3,None,Direwolf,None,Winterfell,Teeth,Stag,1,0.9995503597122303
4,None,Stag,None,Winterfell,Antler,Direwolf,1,0.9995503597122303
5,House Arryn,Lysa Arryn,House Arryn,King's Landing,Poison,Jon Arryn,1,0.9995503597122303
6,Dothraki,Dothraki man,Dothraki,Pentos,Arakh,Dothraki man,1,0.9932553956834532
7,None,Summer,House Stark,Winterfell,Teeth,Catspaw assassin,2,0.9995503597122303
8,Smallfolk,"Sandor ""the Hound"" Clegane",House Lannister,Kingsroad,Sword,Mycah,2,0.9995503597122303
9,House Stark,Ned Stark,House Stark,Kingsroad,Knife,Lady,2,0.9995503597122303
10,House Arryn,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Spear,Ser Hugh of the Vale,4,0.9995503597122303
11,House Clegane,"Gregor ""the Mountain"" Clegane",House Lannister,King's Landing,Sword,Clegane's horse,5,0.9995503597122303
12,House Stark,Tribesman,None,Eastern Road,Bolo,Stark soldier,5,0.9793165467625898
13,None,Bronn,House Lannister,Eastern Road,Sword,Tribesman,5,0.9968525179856116
14,None,Bronn,House Lannister,Eastern Road,Sword,Tribesman,5,0.9968525179856116
15,None,Bronn,House Lannister,Eastern Road,Sword,Tribesman,5,0.9968525179856116
16,House Stark,Tribesman,None,Eastern Road,Mace,Stark soldier,5,0.9793165467625898
17,None,Tyrion Lannister,House Lannister,Eastern Road,Shield,Tribesman,5,0.9968525179856116
18,None,Rodrik Cassel,House Stark,Eastern Road,Sword,Tribesman,5,0.9968525179856116
19,None,Rodrik Cassel,House Stark,Eastern Road,Sword,Tribesman,5,0.9968525179856116
20,None,Bronn,House Lannister,Eastern Road,Knife,Tribesman,5,0.9968525179856116
21,House Stark,Lannister soldier,House Lannister,King's Landing,Spear,Stark soldier,5,0.9793165467625898
22,House Stark,Lannister soldier,House Lannister,King's Landing,Spear,Stark soldier,5,0.9793165467625898
23,House Lannister,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,5,0.8026079136690647
24,House Lannister,Ned Stark,House Stark,King's Landing,Sword,Lannister soldier,5,0.8026079136690647
25,House Lannister,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,5,0.8026079136690647
26,House Lannister,Jory Cassel,House Stark,King's Landing,Sword,Lannister soldier,5,0.8026079136690647
27,House Stark,Jaime Lannister,House Lannister,King's Landing,Knife,Jory Cassel,5,0.9995503597122303
28,Free Folk,Robb Stark,House Stark,Winterfell,Sword,Wallen,6,0.9995503597122303
29,Free Folk,Robb Stark,House Stark,Winterfell,Sword,Wildling,6,0.9523381294964028
30,Free Folk,Theon Greyjoy,House Bolton,Winterfell,Arrow,Stiv,6,0.9995503597122303
31,House Arryn,Bronn,House Lannister,The Eyrie,Sword,Vardis Egen,6,0.9995503597122303
32,House Targaryen,Khal Drogo,Dothraki,Vaes Dothrak,Molten gold,Viserys Targaryen,6,0.9995503597122303
33,House Baratheon of King's Landing,Boar,None,King's Landing,Tusk,Robert Baratheon,7,0.9995503597122303
34,House Stark,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,7,0.9793165467625898
35,House Stark,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,7,0.9793165467625898
36,House Stark,City watch guard,House Lannister,King's Landing,Sword,Stark soldier,7,0.9793165467625898
37,House Stark,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Sword,Stark soldier,7,0.9793165467625898
38,House Stark,Lannister soldier,House Lannister,King's Landing,Sword,Stark soldier,8,0.9793165467625898
39,House Stark,Lannister soldier,House Lannister,King's Landing,Sword,Stark soldier,8,0.9793165467625898
40,House Stark,Lannister soldier,House Lannister,King's Landing,Sword,Vayon Poole,8,0.9995503597122303
41,House Stark,Lannister soldier,House Lannister,King's Landing,Sword,Stark staff member,8,0.9991007194244603
42,House Stark,Lannister soldier,House Lannister,King's Landing,Sword,Stark staff member,8,0.9991007194244603
43,House Stark,Lannister soldier,House Lannister,King's Landing,Sword,Septa Mordane,8,0.9995503597122303
44,House Stark,Meryn Trant,House Trant,King's Landing,Sword,Syrio Forel,8,0.9995503597122303
45,Smallfolk,Arya Stark,House Stark,King's Landing,Sword,Stableboy,8,0.9995503597122303
46,None,Jon Snow,House Stark,Castle Black,Fire,Othor,8,0.9995503597122303
47,None,Night's Watch brother,Night's Watch,Castle Black,Fire,Jafer Flowers,8,0.9995503597122303
48,Dothraki,Khal Drogo,Dothraki,Lhazar,Hands,Mago,8,0.9995503597122303
49,Dothraki,Mirri Maz Duur,None,Red Waste,Knife,Drogo's horse,9,0.9995503597122303
50,Dothraki,Jorah Mormont,House Targaryen,Red Waste,Sword,Qotho,9,0.9995503597122303
51,House Stark,Hill tribesman,None,Unknown,Hammer,Stark soldier,9,0.9793165467625898
52,House Stark,Hill tribesman,None,Unknown,Sword,Stark soldier,9,0.9793165467625898
53,None,Arya Stark,House Stark,King's Landing,Hands,Pigeon,9,0.9991007194244603
54,House Stark,Ilyn Payne,House Payne,King's Landing,Sword,Ned Stark,9,0.9995503597122303
55,Dothraki,Mirri Maz Duur,None,Red Waste,Magic,Rhaego,10,0.9995503597122303
56,Dothraki,Daenerys Targaryen,House Targaryen,Red Waste,Pillow,Khal Drogo,10,0.9995503597122303
57,None,Daenerys Targaryen,House Targaryen,Red Waste,Fire,Mirri Maz Duur,10,0.9995503597122303
58,None,"Sandor ""the Hound"" Clegane",House Lannister,King's Landing,Mace,Knight,11,0.9995503597122303
59,House Targaryen,None,None,Red Waste,Starvation,The Silver,11,0.9995503597122303
60,House Baratheon of Dragonstone,"Melisandre ""the Red Woman"" of Asshai",Lord of Light,Dragonstone,Poison,Maester Cressen,11,0.9995503597122303
61,Smallfolk,Janos Slynt,Night's Watch,King's Landing,Knife,Barra (Baratheon illegitimate son),11,0.9995503597122303
62,Smallfolk,City watch guard,House Lannister,King's Landing,Knife,Robert Baratheon's illegitimate son,11,0.9986510791366906
63,Smallfolk,City watch guard,House Lannister,King's Landing,Water,Robert Baratheon's illegitimate son,11,0.9986510791366906
64,Smallfolk,City watch guard,House Lannister,King's Landing,Unknown,Robert Baratheon's illegitimate son,11,0.9986510791366906
65,House Targaryen,Rival Dothraki,Dothraki,Red Waste,Unknown,Rakharo,12,0.9995503597122303
66,House Lannister,Yoren,Night's Watch,Riverlands,Sword,Lannister soldier,13,0.8026079136690647
