,name,male,origin,book1,book2,book3,book4,book5,isMarried,isNoble,numDeadRelations,boolDeadRelations,popularity,isAlive,episode_global_num
8,Wilbert,1,,0,0,1,0,0,0,1,0,0,0.0066889632107023,0.0,
11,Will (orphan),0,,0,0,0,1,0,0,0,0,0,0.0033444816053511,1.0,
12,Will (squire),1,,0,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
16,Willam,1,,0,0,0,1,0,0,0,0,0,0.0133779264214046,1.0,
18,Willifer,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
23,Willum,1,,1,0,0,0,0,0,1,0,0,0.0,1.0,
26,Woth,1,,0,1,0,0,0,0,0,0,0,0.0301003344481605,0.0,
28,Wyl the Whittler,0,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
31,Wun Weg Wun Dar Wun,1,,0,0,0,0,1,0,0,0,0,0.0501672240802675,1.0,
40,Yormwell,0,,0,0,0,0,0,0,1,0,0,0.0033444816053511,1.0,
42,Ysilla,0,,0,0,0,0,1,1,0,0,0,0.040133779264214,1.0,
43,Zarabelo,0,,0,0,0,1,0,0,1,0,0,0.0066889632107023,1.0,
44,Zei,0,,0,0,1,0,0,0,0,0,0,0.0133779264214046,1.0,
66,Qyle,1,,0,1,0,0,0,0,0,0,0,0.0133779264214046,0.0,
67,Rafe,0,,0,0,0,0,0,0,0,0,0,0.0066889632107023,1.0,
70,Rainbow Knight,0,,1,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
71,Randa,0,,0,0,1,0,0,0,0,0,0,0.0033444816053511,1.0,
73,Rawney,1,,0,0,0,1,0,0,1,0,0,0.0100334448160535,1.0,
79,Redtusk,1,,0,0,0,0,0,0,1,0,0,0.0167224080267558,1.0,
83,Reysen,1,,0,1,0,0,0,0,0,0,0,0.0234113712374581,1.0,
94,Rigney,1,,0,0,0,1,0,0,1,0,0,0.0033444816053511,1.0,
102,Robin,1,,0,0,0,1,0,0,0,0,0,0.0167224080267558,1.0,
109,Roger of Pennytree,1,,0,0,0,0,0,0,0,0,0,0.0301003344481605,0.0,
114,Rolfe,1,,0,1,0,0,0,0,0,0,0,0.0033444816053511,1.0,
121,Roone,1,,0,0,0,1,0,0,0,0,0,0.040133779264214,1.0,
122,Roone (maester),1,,0,0,1,1,0,0,1,0,0,0.0100334448160535,1.0,
126,Rosey,0,,0,0,0,1,0,0,0,0,0,0.0301003344481605,1.0,
129,Runciter,1,,0,0,0,0,0,0,1,0,0,0.244147157190635,0.0,
133,Ryam,1,,0,0,0,1,0,0,1,0,0,0.0133779264214046,1.0,
138,Saathos,0,,0,1,0,0,0,0,0,0,0,0.0033444816053511,1.0,
145,Scarb,0,,0,0,1,0,0,0,0,0,0,0.0066889632107023,1.0,
147,Sedgekins,0,,0,0,1,0,0,0,0,0,0,0.0,1.0,
150,Sharna,0,,0,0,1,1,0,1,0,0,0,0.0367892976588628,1.0,
151,Shella,0,,1,0,0,0,0,0,0,0,0,0.0033444816053511,1.0,
