Season,Episode,Deaths
Season 1,Winter Is Coming,"Seven Unnamed Free Folk - Ripped apart by White Walkers off-screen, bodies shown."
Season 1,Winter Is Coming,"Unnamed Free Folk Girl - Killed and pinned to a tree by White Walkers off-screen, body shown. Reanimated as a wight."
Season 1,Winter Is Coming,Ser Waymar Royce - Slashed by a White Walker with an ice blade.
Season 1,Winter Is Coming,Gared - Decapitated by a White Walker with an ice blade.
Season 1,Winter Is Coming,"Three Unspecified Animals - Killed by an unknown person off-screen, bodies shown."
Season 1,Winter Is Coming,Will - Decapitated by Lord Eddard Stark with Ice for dissertation.
Season 1,Winter Is Coming,"Stag - Mauled by a direwolf off-screen, body shown."
Season 1,Winter Is Coming,"Direwolf - Died during childbirth off-screen, body shown."
Season 1,Winter Is Coming,"Lord Jon Arryn - Poisoned by Lady Lysa Arryn with tears of Lys on the orders of Lord Petyr Baelish off-screen, body shown."
Season 1,Winter Is Coming,"Two Unspecified Animals - Killed by an unknown person off-screen, bodies shown."
Season 1,Winter Is Coming,"King Brandon Stark - Killed by an unknown person on the orders of King Aerys II Targaryen off-screen, mentioned."
Season 1,Winter Is Coming,"Lord Rickard Stark - Burned alive by King Aerys II Targaryen off-screen, mentioned."
Season 1,Winter Is Coming,"Six Unspecified Animals - Killed by an unknown person off-screen, bodies shown."
Season 1,The Kingsroad,"Two Horses - Killed by unknown Dothraki off-screen, bodies shown."
Season 1,The Kingsroad,"Two Fish - Killed by an unknown person off-screen, bodies shown."
Season 1,The Kingsroad,"Cersei Lannister's Son - Died of a fever off-screen, mentioned."
Season 1,The Kingsroad,Unnamed Male Catspaw Assassin - Throat ripped open by Summer.
Season 1,The Kingsroad,"Two Unspecified Animals - Killed by an unknown person off-screen, bodies shown."
Season 1,The Kingsroad,Mycah - Trampled to death by Sandor Clegane/The Hound with his horse on the orders of Prince Joffrey Baratheon.
Season 1,Lord Snow,"Unnamed Tyroshi Soldier - Stabbed through the heart by Barristan Selmy with a lance off-screen, mentioned."
Season 1,Lord Snow,"Unnamed House Tarly Soldier - Chest crushed by Lord Robert Baratheon with a hammer during the Battle of Summerhall off-screen, mentioned."
Season 1,Lord Snow,"Horse - Shot by an unknown House Tarly solider with an arrow off-screen, mentioned."
Season 1,Lord Snow,"Unnamed Kingswood Outlaw - Decapitated by Jaime Lannister off-screen, mentioned."
Season 1,Lord Snow,"Simon Toyne - Killed by Barristan Selmy with a counter riposte off-screen, mentioned."
Season 1,Lord Snow,"Bear - Killed, cooked, and consumed by Yoren off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Ghiscar (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Valryon (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Vermithrax (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Essovius (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Archonei (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Meraxes (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Vhagar/Queen of All Dragons (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Balerion/Black Dread (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","The Last Dragon (Dragon) - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Harkon Umber - Died during a bear hunt off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Gendry Baratheon's Mother - Died in an unspecified manner off-screen, mentioned."
Season 1,"Cripples, Bastards, and Broken Things","Prince Rhaegar Targaryen - Killed by Lord Robert Baratheon off-screen, mentioned."
Season 1,The Wolf and the Lion,Horse - Decapitated by Ser Gregor Clegane/The Mountain with a sword.
Season 1,The Wolf and the Lion,Unnamed Hill Tribesman - Throat slashed by Bronn with a sword.
Season 1,The Wolf and the Lion,Unnamed Hill Tribesman - Stabbed in the stomach by Bronn with a sword.
Season 1,The Wolf and the Lion,Kurleket - Killed by an unknown Hill Tribesman.
Season 1,The Wolf and the Lion,Ser Willis Wode - Killed by an unknown Hill Tribesman.
Season 1,The Wolf and the Lion,Unnamed Stark Soldier - Slashed by an unknown Hill Tribesman with a sword.
Season 1,The Wolf and the Lion,Unnamed Stark Soldier - Hit in the head by an unknown Hill Tribesman with a spiked club.
Season 1,The Wolf and the Lion,Unnamed Hill Tribesman - Repeatedly stabbed in the head by Lord Tyrion Lannister with a shield.
Season 1,The Wolf and the Lion,Unnamed Hill Tribesman - Throat slashed by Ser Rodrik Cassel with a sword.
Season 1,The Wolf and the Lion,Unnamed Hill Tribesman - Throat slit by Bronn with a knife.
Season 1,The Wolf and the Lion,"Unnamed Hill Tribesman - Killed by an unknown Stark solider off-screen, body shown."
Season 1,The Wolf and the Lion,"Unspecified Animal - Killed by King Robert I Baratheon off-screen, mentioned."
Season 1,The Wolf and the Lion,Wyl - Impaled through the chest by an unknown Lannister soldier with a thrown spear on the orders of Ser Jaime Lannister.
Season 1,The Wolf and the Lion,Heward - Impaled through the chest by an unknown Lannister soldier with a thrown spear on the orders of Ser Jaime Lannister.
Season 1,The Wolf and the Lion,Unnamed Lannister Soldier - Throat slashed by Lord Eddard Stark with a sword.
Season 1,The Wolf and the Lion,Unnamed Lannister Soldier - Throat slashed by Jory Cassel with a sword.
Season 1,The Wolf and the Lion,Unnamed Lannister Soldier - Stomach slashed by Jory Cassel with a sword.
Season 1,The Wolf and the Lion,Jory Cassel - Stabbed through the eye by Ser Jaime Lannister with a dirk.
Season 1,A Golden Crown,Wallen - Throat slashed by Robb Stark with a sword.
Season 1,A Golden Crown,Unnamed Free Folk - Stabbed in the stomach by Robb Stark with a sword.
Season 1,A Golden Crown,Stiv - Shot in the back by Theon Greyjoy with an arrow using a bow.
Season 1,A Golden Crown,"Horse - Killed by unknown Dothraki off-screen, heart shown."
Season 1,A Golden Crown,"22 Fish - Killed by an unknown person off-screen, bodies shown."
Season 1,A Golden Crown,"Unnamed Blacksmith - Cut in half by Ser Gregor Clegane/The Mountain off-screen, mentioned."
Season 1,A Golden Crown,"Horse - Decapitated by Ser Gregor Clegane/The Mountain off-screen, mentioned."
Season 1,A Golden Crown,"Ser Vardis Egen - Stabbed in the neck by Bronn with a sword, then thrown through the Moon Door."
Season 1,A Golden Crown,"Three Unspecified Animals - Killed by an unknown person off-screen, bodies shown."
Season 1,You Win or You Die,"Stag - Killed by an unknown person off-screen, body shown."
Season 1,You Win or You Die,"Lady Joanna Lannister - Died during childbirth off-screen, mentioned."
Season 1,You Win or You Die,"Boar - Stabbed in the head by King Robert I Baratheon off-screen, mentioned."
Season 1,You Win or You Die,"Unnamed Person - Died of exhaustion after being dragged by Dothraki off-screen, mentioned."
Season 1,You Win or You Die,"King Robert I Baratheon - Died of his injuries after being wounded by a wild boar off-screen, mentioned."
Season 1,You Win or You Die,Unnamed Assassin - Died of exhaustion after being dragged by Dothraki off-screen.
Season 1,You Win or You Die,Three Unnamed Stark Soldiers - Impaled through the back by unknown City Watch knights with spears.
Season 1,You Win or You Die,Unnamed Stark Soldier - Slashed across the stomach by Sandor Clegane/The Hound with a sword.
Season 1,You Win or You Die,Varly - Killed by unknown City Watch knights.
Season 1,The Pointy End,Unnamed Stark Soldier - Slashed across the stomach by an unknown City Watch knight with a sword.
Season 1,The Pointy End,Unnamed Stark Soldier - Stabbed in the stomach by an unknown City Watch knight with a sword.
Season 1,The Pointy End,Vayon Poole - Stabbed in the stomach by an unknown Lannister soldier with a spear.
Season 1,The Pointy End,Unnamed Stark Soldier - Slashed across the stomach by an unknown Lannister soldier with a sword.
Season 1,The Pointy End,Two Unnamed Stark Soldiers - Stabbed in the stomach by an unknown Lannister soldier with a sword.
Season 1,The Pointy End,"Septa Mordane - Decapitated by an unknown soldier on the orders of King Joffrey I Baratheon off-screen, head shown in ""Fire and Blood""."
