,name,male,origin,isMarried,isNoble,popularity,isAlive,season,episode,deaths,episode_num
0,Viserys II Targaryen,1,House Targaryen,0,0,0.605351170568561,0,8,The Bells,Lord Varys - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.,71
1,Walder Frey,1,House Frey,1,1,0.896321070234113,0,6,The Winds of Winter,Lord Walder Frey - Throat slit by Arya Stark with a knife.,60
2,Addison Hill,1,House Lannister,0,1,0.267558528428093,1,0,,,0
3,Aemma Arryn,0,House Arryn,1,1,0.183946488294314,0,5,The Gift,Maester Aemon Targaryen - Died of natural causes.,47
4,Sylva Santagar,0,House Martell,1,1,0.0434782608695652,1,0,,,0
5,Tommen Baratheon,1,House Baratheon,0,0,1.0,0,2,Blackwater,Unnamed Baratheon Soldier - Stabbed in the chest by Lord Tyrion Lannister with an axe.,19
6,Valarr Targaryen,1,House Targaryen,1,1,0.431438127090301,0,2,Valar Morghulis,Doreah - Died of natural causes after being locked in a vault by Queen Daenerys I Targaryen.,20
7,Viserys I Targaryen,1,House Targaryen,0,0,0.678929765886287,0,8,The Bells,Lord Varys - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.,71
8,Wilbert,1,,0,1,0.0066889632107023,0,8,The Iron Throne,Willem (Commoner) - 1 (Deceased),72
9,Wilbert Osgrey,1,House Tyrell,0,1,0.020066889632107,1,0,,,0
10,Will,1,Night's Watch,0,0,0.163879598662207,0,1,Winter Is Coming,Will - Decapitated by Lord Eddard Stark with Ice for dissertation.,1
11,Will (orphan),0,,0,0,0.0033444816053511,1,0,,,0
12,Will (squire),1,,0,0,0.0033444816053511,1,0,,,0
13,Will (Standfast),0,House Tyrell,0,0,0.0033444816053511,1,0,,,0
14,Will (Treb),1,House Tyrell,0,0,0.0033444816053511,1,0,,,0
15,Will Humble,1,House Greyjoy,0,0,0.0133779264214046,1,0,,,0
16,Willam,1,,0,0,0.0133779264214046,1,0,,,0
17,Willem Wylde,1,House Baratheon,0,1,0.020066889632107,1,0,,,0
18,Willifer,0,,0,1,0.0066889632107023,1,0,,,0
19,Willit,1,House Lannister,0,0,0.0100334448160535,1,0,,,0
20,Willis Wode,1,Noble,0,1,0.020066889632107,1,0,,,0
21,Willis Fell,0,Noble,0,1,0.0234113712374581,1,0,,,0
22,Willow Heddle,0,Outlaw,0,0,0.0334448160535117,1,0,,,0
23,Willum,1,,0,1,0.0,1,0,,,0
24,Wolmer,1,House Greyjoy,0,0,0.0033444816053511,1,0,,,0
25,Willow Witch-eye,0,Wildling,0,0,0.0501672240802675,0,8,The Long Night,Wight - Shot in the head by an unknown soldier with a flaming arrow using a bow.,69
26,Woth,1,,0,0,0.0301003344481605,0,8,The Long Night,Wight - Shot by Theon Greyjoy with a flaming arrow using a bow.,69
27,Wulfe,1,House Greyjoy,0,0,0.0234113712374581,1,0,,,0
28,Wyl the Whittler,0,,0,0,0.0066889632107023,1,0,,,0
29,Wyl (guard),0,House Stark,0,0,0.0267558528428093,0,1,The Wolf and the Lion,Wyl - Impaled through the chest by an unknown Lannister soldier with a thrown spear on the orders of Ser Jaime Lannister.,5
30,Wyl Waynwood,0,House Arryn,0,0,0.0133779264214046,0,8,The Iron Throne,Wylis/Hodor - 3 (Deceased),72
31,Wun Weg Wun Dar Wun,1,,0,0,0.0501672240802675,1,0,,,0
32,Wylla,1,House Martell,0,0,0.0267558528428093,1,0,,,0
33,Wynafryd Manderly,0,House Stark,0,0,0.0568561872909698,1,0,,,0
34,Xhondo,1,Foreign Peasant,0,0,0.020066889632107,1,0,,,0
35,Ygon Farwynd,1,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
36,Yna,1,Peasant,0,0,0.020066889632107,1,0,,,0
37,Yohn Farwynd,1,House Greyjoy,0,0,0.0100334448160535,1,0,,,0
38,Yorkel,0,House Targaryen,0,0,0.0,1,0,,,0
39,Yorko Terys,1,Foreign Peasant,0,0,0.0234113712374581,1,0,,,0
40,Yormwell,0,,0,1,0.0033444816053511,1,0,,,0
41,Young Henly,1,Night's Watch,0,0,0.0133779264214046,0,3,"Dark Wings, Dark Words","Lord Hoster Tully - Died of an unspecified illness off-screen, body shown in ""Walk of Punishment"".",22
42,Ysilla,0,,1,0,0.040133779264214,1,0,,,0
43,Zarabelo,0,,0,1,0.0066889632107023,1,0,,,0
44,Zei,0,,0,0,0.0133779264214046,1,0,,,0
45,Zekko,1,Dothraki,0,0,0.0133779264214046,1,0,,,0
46,Zharaq zo Loraq,1,Foreign Peasant,0,0,0.0100334448160535,1,0,,,0
47,Wenda,0,Outlaw,0,0,0.0167224080267558,1,0,,,0
