name,season,episode,deaths
Viserys II Targaryen,Season 8,The Bells,Lord Varys - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.
Walder Frey,Season 6,The Winds of Winter,Lord Walder Frey - Throat slit by Arya Stark with a knife.
Aemma Arryn,Season 5,The Gift,Maester Aemon Targaryen - Died of natural causes.
Tommen Baratheon,Season 2,Blackwater,Unnamed Baratheon Soldier - Stabbed in the chest by Lord Tyrion Lannister with an axe.
Valarr Targaryen,Season 2,Valar Morghulis,Doreah - Died of natural causes after being locked in a vault by Queen Daenerys I Targaryen.
Viserys I Targaryen,Season 8,The Bells,Lord Varys - Burned alive by Drogon with his fire breath on the orders of Queen Daenerys I Targaryen.
Wilbert,Season 8,The Iron Throne,Willem (Commoner) - 1 (Deceased)
Will,Season 1,Winter Is Coming,Will - Decapitated by Lord Eddard Stark with Ice for dissertation.
Willow Witch-eye,Season 8,The Long Night,Wight - Shot in the head by an unknown soldier with a flaming arrow using a bow.
Woth,Season 8,The Long Night,Wight - Shot by Theon Greyjoy with a flaming arrow using a bow.
Wyl (guard),Season 1,The Wolf and the Lion,Wyl - Impaled through the chest by an unknown Lannister soldier with a thrown spear on the orders of Ser Jaime Lannister.
Wyl Waynwood,Season 8,The Iron Throne,Wylis/Hodor - 3 (Deceased)
Young Henly,Season 3,"Dark Wings, Dark Words","Lord Hoster Tully - Died of an unspecified illness off-screen, body shown in ""Walk of Punishment""."
Joffrey Baratheon,Season 8,The Iron Throne,King/Prince Joffrey I Baratheon - 11 (Deceased)
Laenor Velaryon,Season 3,Valar Dohaeris,Wight - Burned alive by Lord Commander Jeor Mormont with a torch.
Leobald Tallhart,Season 8,The Bells,Unnamed Northern Soldier - Stabbed in the stomach by Jon Snow using Longclaw.
Maegor I Targaryen,Season 1,Baelor,"Prince Aegon Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned."
Margaery Tyrell,Season 6,The Winds of Winter,Queen Margaery Tyrell - Blown up by Cersei Lannister with wildfire when she caused the destruction of the Great Sept of Baelor.
Naerys Targaryen,Season 8,The Long Night,Lady Alys Karstark (Wight) - Died when Arya Stark killed the Night King.
Quellon Greyjoy,Season 8,The Long Night,Qhono (Wight) - Died when Arya Stark killed the Night King.
Quentyn Blackwood,Season 2,Blackwater,Unnamed Baratheon Soldier - Shot in the eye by Bronn with an arrow using a bow.
Quort,Season 1,Baelor,Qotho - Slashed across the face by Ser Jorah Mormont with a sword.
Qyle,Season 7,The Queen's Justice,Unnamed Lannister Soldier - Fell to his death after being thrown from Casterly Rock by an unknown Unsullied.
Rast,Season 8,The Iron Throne,Rast (Night's Watch) - 1 (Deceased)
Red Rolfe,Season 2,The Night Lands,"Rodrik Greyjoy - Died in an unspecified manner off-screen, mentioned."
Rhaegel Targaryen,Season 1,Fire and Blood,"Rhaego - Stillborn after being cursed by Mirri Maz Duur using blood magic off-screen, mentioned."
Rhaena Targaryen (daughter of Daemon),Season 1,Baelor,"Princess Rhaenys Targaryen - Killed by Ser Gregor Clegane/The Mountain on the orders of Lord Tywin Lannister off-screen, mentioned."
Rhaena Targaryen (daughter of Aegon III),Season 3,And Now His Watch Is Ended,"Queen Rhaenyra Targaryen - Burned alive and consumed by dragon on the orders of King Aegon II Targaryen off-screen, mentioned."
