Character_Name,Culture,Born,Died,Character_Titles,Aliases,Father,Mother,Spouse,Allegiances,Books,POV Books,TV Series,Played By,Character_Number,Most_Common_Allegiance,First_Allegiance_Number,House_Name,House_Region,Coat of Arms,Words,Titles_y,Seats,Current Lord,Heir,Overlord,Founded,Founder,Died Out,Ancestral Weapons,Cadet Branches,Sworn Members
,Braavosi,,,[''],['The Daughter of the Dusk'],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],1,,,,,,,,,,,,,,,,,
Walder,,,,[''],['Hodor'],,,,['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 1', 'Season 2', 'Season 3', 'Season 4', 'Season 6']",['Kristian Nairn'],2,House Stark of Winterfell,362,House Stark of Winterfell,The North,"A running grey direwolf, on an ice-white field",Winter is Coming,"['King in the North', 'Lord of Winterfell', 'Warden of the North', 'King of the Trident']",['Scattered (formerly Winterfell)'],,,https://www.anapioficeandfire.com/api/houses/16,Age of Heroes,https://www.anapioficeandfire.com/api/characters/209,,['Ice'],"['https://www.anapioficeandfire.com/api/houses/170', 'https://www.anapioficeandfire.com/api/houses/215']","['https://www.anapioficeandfire.com/api/characters/2', 'https://www.anapioficeandfire.com/api/characters/20', 'https://www.anapioficeandfire.com/api/characters/97', 'https://www.anapioficeandfire.com/api/characters/98', 'https://www.anapioficeandfire.com/api/characters/136', 'https://www.anapioficeandfire.com/api/characters/143', 'https://www.anapioficeandfire.com/api/characters/148', 'https://www.anapioficeandfire.com/api/characters/170', 'https://www.anapioficeandfire.com/api/characters/181', 'https://www.anapioficeandfire.com/api/characters/192', 'https://www.anapioficeandfire.com/api/characters/206', 'https://www.anapioficeandfire.com/api/characters/207', 'https://www.anapioficeandfire.com/api/characters/208', 'https://www.anapioficeandfire.com/api/characters/209', 'https://www.anapioficeandfire.com/api/characters/210', 'https://www.anapioficeandfire.com/api/characters/212', 'https://www.anapioficeandfire.com/api/characters/216', 'https://www.anapioficeandfire.com/api/characters/232', 'https://www.anapioficeandfire.com/api/characters/259', 'https://www.anapioficeandfire.com/api/characters/324', 'https://www.anapioficeandfire.com/api/characters/339', 'https://www.anapioficeandfire.com/api/characters/340', 'https://www.anapioficeandfire.com/api/characters/349', 'https://www.anapioficeandfire.com/api/characters/351', 'https://www.anapioficeandfire.com/api/characters/354', 'https://www.anapioficeandfire.com/api/characters/389', 'https://www.anapioficeandfire.com/api/characters/461', 'https://www.anapioficeandfire.com/api/characters/561', 'https://www.anapioficeandfire.com/api/characters/583', 'https://www.anapioficeandfire.com/api/characters/584', 'https://www.anapioficeandfire.com/api/characters/589', 'https://www.anapioficeandfire.com/api/characters/591', 'https://www.anapioficeandfire.com/api/characters/593', 'https://www.anapioficeandfire.com/api/characters/603', 'https://www.anapioficeandfire.com/api/characters/648', 'https://www.anapioficeandfire.com/api/characters/668', 'https://www.anapioficeandfire.com/api/characters/716', 'https://www.anapioficeandfire.com/api/characters/737', 'https://www.anapioficeandfire.com/api/characters/777', 'https://www.anapioficeandfire.com/api/characters/887', 'https://www.anapioficeandfire.com/api/characters/891', 'https://www.anapioficeandfire.com/api/characters/911', 'https://www.anapioficeandfire.com/api/characters/912', 'https://www.anapioficeandfire.com/api/characters/916', 'https://www.anapioficeandfire.com/api/characters/917', 'https://www.anapioficeandfire.com/api/characters/918', 'https://www.anapioficeandfire.com/api/characters/957', 'https://www.anapioficeandfire.com/api/characters/1101', 'https://www.anapioficeandfire.com/api/characters/1111', 'https://www.anapioficeandfire.com/api/characters/1148', 'https://www.anapioficeandfire.com/api/characters/1158', 'https://www.anapioficeandfire.com/api/characters/1175', 'https://www.anapioficeandfire.com/api/characters/1185', 'https://www.anapioficeandfire.com/api/characters/1190', 'https://www.anapioficeandfire.com/api/characters/1254', 'https://www.anapioficeandfire.com/api/characters/1260', 'https://www.anapioficeandfire.com/api/characters/1326', 'https://www.anapioficeandfire.com/api/characters/1336', 'https://www.anapioficeandfire.com/api/characters/1383', 'https://www.anapioficeandfire.com/api/characters/1396', 'https://www.anapioficeandfire.com/api/characters/1407', 'https://www.anapioficeandfire.com/api/characters/1488', 'https://www.anapioficeandfire.com/api/characters/1489', 'https://www.anapioficeandfire.com/api/characters/1499', 'https://www.anapioficeandfire.com/api/characters/1515', 'https://www.anapioficeandfire.com/api/characters/1526', 'https://www.anapioficeandfire.com/api/characters/1565', 'https://www.anapioficeandfire.com/api/characters/1602', 'https://www.anapioficeandfire.com/api/characters/1620', 'https://www.anapioficeandfire.com/api/characters/1649', 'https://www.anapioficeandfire.com/api/characters/1650', 'https://www.anapioficeandfire.com/api/characters/1706', 'https://www.anapioficeandfire.com/api/characters/1737', 'https://www.anapioficeandfire.com/api/characters/1749', 'https://www.anapioficeandfire.com/api/characters/1787', 'https://www.anapioficeandfire.com/api/characters/1796', 'https://www.anapioficeandfire.com/api/characters/1816', 'https://www.anapioficeandfire.com/api/characters/1819', 'https://www.anapioficeandfire.com/api/characters/1843', 'https://www.anapioficeandfire.com/api/characters/1946', 'https://www.anapioficeandfire.com/api/characters/1950', 'https://www.anapioficeandfire.com/api/characters/1979', 'https://www.anapioficeandfire.com/api/characters/2019', 'https://www.anapioficeandfire.com/api/characters/2020', 'https://www.anapioficeandfire.com/api/characters/2037', 'https://www.anapioficeandfire.com/api/characters/2068', 'https://www.anapioficeandfire.com/api/characters/2089', 'https://www.anapioficeandfire.com/api/characters/2119']"
,,,,[''],['Lamprey'],,,,['https://www.anapioficeandfire.com/api/houses/15'],['https://www.anapioficeandfire.com/api/books/3'],[],[''],[''],3,House Baratheon of Dragonstone,15,House Baratheon of Dragonstone,The Crownlands,"Or, a heart gules enflamed proper charged with a stag's head sable crowned of the field",,"['Lord of Dragonstone', 'King of Westeros']",['Dragonstone'],https://www.anapioficeandfire.com/api/characters/1963,https://www.anapioficeandfire.com/api/characters/975,https://www.anapioficeandfire.com/api/houses/16,284 AC,https://www.anapioficeandfire.com/api/characters/1963,,[''],[],"['https://www.anapioficeandfire.com/api/characters/3', 'https://www.anapioficeandfire.com/api/characters/7', 'https://www.anapioficeandfire.com/api/characters/220', 'https://www.anapioficeandfire.com/api/characters/243', 'https://www.anapioficeandfire.com/api/characters/308', 'https://www.anapioficeandfire.com/api/characters/369', 'https://www.anapioficeandfire.com/api/characters/430', 'https://www.anapioficeandfire.com/api/characters/601', 'https://www.anapioficeandfire.com/api/characters/795', 'https://www.anapioficeandfire.com/api/characters/881', 'https://www.anapioficeandfire.com/api/characters/908', 'https://www.anapioficeandfire.com/api/characters/925', 'https://www.anapioficeandfire.com/api/characters/975', 'https://www.anapioficeandfire.com/api/characters/1285', 'https://www.anapioficeandfire.com/api/characters/1312', 'https://www.anapioficeandfire.com/api/characters/1319', 'https://www.anapioficeandfire.com/api/characters/1325', 'https://www.anapioficeandfire.com/api/characters/1467', 'https://www.anapioficeandfire.com/api/characters/1516', 'https://www.anapioficeandfire.com/api/characters/1535', 'https://www.anapioficeandfire.com/api/characters/1623', 'https://www.anapioficeandfire.com/api/characters/1680', 'https://www.anapioficeandfire.com/api/characters/1777', 'https://www.anapioficeandfire.com/api/characters/1797', 'https://www.anapioficeandfire.com/api/characters/1925', 'https://www.anapioficeandfire.com/api/characters/1935', 'https://www.anapioficeandfire.com/api/characters/2100']"
,Braavosi,,,[''],['The Merling Queen'],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],4,,,,,,,,,,,,,,,,,
,,,,[''],['Old Crackbones'],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],5,,,,,,,,,,,,,,,,,
,Braavosi,,,[''],['The Poetess'],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],6,,,,,,,,,,,,,,,,,
,,,,[''],['Porridge'],,,,['https://www.anapioficeandfire.com/api/houses/15'],['https://www.anapioficeandfire.com/api/books/3'],[],[''],[''],7,House Baratheon of Dragonstone,15,House Baratheon of Dragonstone,The Crownlands,"Or, a heart gules enflamed proper charged with a stag's head sable crowned of the field",,"['Lord of Dragonstone', 'King of Westeros']",['Dragonstone'],https://www.anapioficeandfire.com/api/characters/1963,https://www.anapioficeandfire.com/api/characters/975,https://www.anapioficeandfire.com/api/houses/16,284 AC,https://www.anapioficeandfire.com/api/characters/1963,,[''],[],"['https://www.anapioficeandfire.com/api/characters/3', 'https://www.anapioficeandfire.com/api/characters/7', 'https://www.anapioficeandfire.com/api/characters/220', 'https://www.anapioficeandfire.com/api/characters/243', 'https://www.anapioficeandfire.com/api/characters/308', 'https://www.anapioficeandfire.com/api/characters/369', 'https://www.anapioficeandfire.com/api/characters/430', 'https://www.anapioficeandfire.com/api/characters/601', 'https://www.anapioficeandfire.com/api/characters/795', 'https://www.anapioficeandfire.com/api/characters/881', 'https://www.anapioficeandfire.com/api/characters/908', 'https://www.anapioficeandfire.com/api/characters/925', 'https://www.anapioficeandfire.com/api/characters/975', 'https://www.anapioficeandfire.com/api/characters/1285', 'https://www.anapioficeandfire.com/api/characters/1312', 'https://www.anapioficeandfire.com/api/characters/1319', 'https://www.anapioficeandfire.com/api/characters/1325', 'https://www.anapioficeandfire.com/api/characters/1467', 'https://www.anapioficeandfire.com/api/characters/1516', 'https://www.anapioficeandfire.com/api/characters/1535', 'https://www.anapioficeandfire.com/api/characters/1623', 'https://www.anapioficeandfire.com/api/characters/1680', 'https://www.anapioficeandfire.com/api/characters/1777', 'https://www.anapioficeandfire.com/api/characters/1797', 'https://www.anapioficeandfire.com/api/characters/1925', 'https://www.anapioficeandfire.com/api/characters/1935', 'https://www.anapioficeandfire.com/api/characters/2100']"
,,,,[''],['Quickfinger'],,,,['https://www.anapioficeandfire.com/api/houses/23'],['https://www.anapioficeandfire.com/api/books/6'],[],[''],[''],8,House Blackfyre of King's Landing,23,House Blackfyre of King's Landing,,"Gules, a three headed dragon breathing flames sable",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/378,184 AC,https://www.anapioficeandfire.com/api/characters/267,260 AC,['Blackfyre'],[],"['https://www.anapioficeandfire.com/api/characters/8', 'https://www.anapioficeandfire.com/api/characters/35', 'https://www.anapioficeandfire.com/api/characters/47', 'https://www.anapioficeandfire.com/api/characters/50', 'https://www.anapioficeandfire.com/api/characters/83', 'https://www.anapioficeandfire.com/api/characters/226', 'https://www.anapioficeandfire.com/api/characters/267', 'https://www.anapioficeandfire.com/api/characters/268', 'https://www.anapioficeandfire.com/api/characters/697', 'https://www.anapioficeandfire.com/api/characters/920', 'https://www.anapioficeandfire.com/api/characters/1462', 'https://www.anapioficeandfire.com/api/characters/2021']"
,,,,[''],"[""the Sailor's Wife""]",,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],9,,,,,,,,,,,,,,,,,
,Braavosi,,,[''],['The Veiled Lady'],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],10,,,,,,,,,,,,,,,,,
