Name,Culture,Born,Died,Titles,Aliases,Father,Mother,Spouse,Allegiances,Books,POV Books,TV Series,Played By,URL
,Braavosi,,,[''],['The Daughter of the Dusk'],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/1
Walder,,,,[''],['Hodor'],,,,['https://www.anapioficeandfire.com/api/houses/362'],"['https://www.anapioficeandfire.com/api/books/1', 'https://www.anapioficeandfire.com/api/books/2', 'https://www.anapioficeandfire.com/api/books/3', 'https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 1', 'Season 2', 'Season 3', 'Season 4', 'Season 6']",['Kristian Nairn'],https://www.anapioficeandfire.com/api/characters/2
,,,,[''],['Lamprey'],,,,['https://www.anapioficeandfire.com/api/houses/15'],['https://www.anapioficeandfire.com/api/books/3'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/3
,Braavosi,,,[''],['The Merling Queen'],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],[''],[''],https://www.anapioficeandfire.com/api/characters/4
,,,,[''],['Old Crackbones'],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/5
,Braavosi,,,[''],['The Poetess'],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/6
,,,,[''],['Porridge'],,,,['https://www.anapioficeandfire.com/api/houses/15'],['https://www.anapioficeandfire.com/api/books/3'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/7
,,,,[''],['Quickfinger'],,,,['https://www.anapioficeandfire.com/api/houses/23'],['https://www.anapioficeandfire.com/api/books/6'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/8
,,,,[''],"[""the Sailor's Wife""]",,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/9
,Braavosi,,,[''],['The Veiled Lady'],,,,[],['https://www.anapioficeandfire.com/api/books/5'],[],[''],[''],https://www.anapioficeandfire.com/api/characters/10
,Braavosi,In 263 AC or 264 AC,,[''],['The waif'],,,,[],"['https://www.anapioficeandfire.com/api/books/5', 'https://www.anapioficeandfire.com/api/books/8']",[],"['Season 5', 'Season 6']",['Faye Marsay'],https://www.anapioficeandfire.com/api/characters/11
