Name,Region,Coat of Arms,Words,Titles,Seats,Current Lord,Heir,Overlord,Founded,Founder,Died Out,Ancestral Weapons,Cadet Branches,Sworn Members,URL
House Algood,The Westerlands,"A golden wreath, on a blue field with a gold border(Azure, a garland of laurel within a bordure or)",,[''],[''],,,https://www.anapioficeandfire.com/api/houses/229,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/1
House Allyrion of Godsgrace,Dorne,"Gyronny Gules and Sable, a hand couped Or",No Foe May Pass,[''],['Godsgrace'],https://www.anapioficeandfire.com/api/characters/298,https://www.anapioficeandfire.com/api/characters/1922,https://www.anapioficeandfire.com/api/houses/285,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/298', 'https://www.anapioficeandfire.com/api/characters/1129', 'https://www.anapioficeandfire.com/api/characters/1301', 'https://www.anapioficeandfire.com/api/characters/1922']",https://www.anapioficeandfire.com/api/houses/2
House Amber,The North,,,[''],[''],,,,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/3
House Ambrose,The Reach,"Or, semy of ants gules",Never Resting,[''],[''],https://www.anapioficeandfire.com/api/characters/141,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/82', 'https://www.anapioficeandfire.com/api/characters/102', 'https://www.anapioficeandfire.com/api/characters/141', 'https://www.anapioficeandfire.com/api/characters/152', 'https://www.anapioficeandfire.com/api/characters/344']",https://www.anapioficeandfire.com/api/houses/4
House Appleton of Appleton,The Reach,"Or, an apple tree eradicated proper fructed gules, quartered with argent, a gatehouse cendrée",,[''],['Appleton'],,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/5
House Arryn of Gulltown,The Vale,,,[''],['Gulltown'],,,https://www.anapioficeandfire.com/api/houses/7,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/6
House Arryn of the Eyrie,The Vale,"A sky-blue falcon soaring against a white moon, on a sky-blue field(Bleu celeste, upon a plate a falcon volant of the field)",As High as Honor,"['King of Mountain and Vale (formerly)', 'Lord of the Eyrie', 'Defender of the Vale', 'Warden of the East']","['The Eyrie (summer)', 'Gates of the Moon (winter)']",https://www.anapioficeandfire.com/api/characters/894,https://www.anapioficeandfire.com/api/characters/477,https://www.anapioficeandfire.com/api/houses/16,Coming of the Andals,https://www.anapioficeandfire.com/api/characters/144,,[''],['https://www.anapioficeandfire.com/api/houses/6'],"['https://www.anapioficeandfire.com/api/characters/49', 'https://www.anapioficeandfire.com/api/characters/92', 'https://www.anapioficeandfire.com/api/characters/93', 'https://www.anapioficeandfire.com/api/characters/107', 'https://www.anapioficeandfire.com/api/characters/223', 'https://www.anapioficeandfire.com/api/characters/265', 'https://www.anapioficeandfire.com/api/characters/300', 'https://www.anapioficeandfire.com/api/characters/356', 'https://www.anapioficeandfire.com/api/characters/477', 'https://www.anapioficeandfire.com/api/characters/508', 'https://www.anapioficeandfire.com/api/characters/540', 'https://www.anapioficeandfire.com/api/characters/548', 'https://www.anapioficeandfire.com/api/characters/558', 'https://www.anapioficeandfire.com/api/characters/572', 'https://www.anapioficeandfire.com/api/characters/688', 'https://www.anapioficeandfire.com/api/characters/894', 'https://www.anapioficeandfire.com/api/characters/1068', 'https://www.anapioficeandfire.com/api/characters/1193', 'https://www.anapioficeandfire.com/api/characters/1280', 'https://www.anapioficeandfire.com/api/characters/1443', 'https://www.anapioficeandfire.com/api/characters/1655', 'https://www.anapioficeandfire.com/api/characters/1693', 'https://www.anapioficeandfire.com/api/characters/1715', 'https://www.anapioficeandfire.com/api/characters/1884']",https://www.anapioficeandfire.com/api/houses/7
House Ashford of Ashford,The Reach,"Tenny, a sun in splendour beneath a chevron inverted argent",Our Sun Shines Bright,['Lord of Ashford'],['Ashford'],,,https://www.anapioficeandfire.com/api/houses/398,,,,[''],[],"['https://www.anapioficeandfire.com/api/characters/121', 'https://www.anapioficeandfire.com/api/characters/641', 'https://www.anapioficeandfire.com/api/characters/895', 'https://www.anapioficeandfire.com/api/characters/1812']",https://www.anapioficeandfire.com/api/houses/8
House Ashwood,The North,,,[''],[''],,,https://www.anapioficeandfire.com/api/houses/34,,,,[''],[],[],https://www.anapioficeandfire.com/api/houses/9
House Baelish of Harrenhal,The Riverlands,"A field of silver mockingbirds, on a green field(Vert, semé of mockingbirds argent)",,"['Lord Paramount of the Trident', 'Lord of Harrenhal']",['Harrenhal'],https://www.anapioficeandfire.com/api/characters/823,,https://www.anapioficeandfire.com/api/houses/16,299 AC,https://www.anapioficeandfire.com/api/characters/823,,[''],[],"['https://www.anapioficeandfire.com/api/characters/651', 'https://www.anapioficeandfire.com/api/characters/804', 'https://www.anapioficeandfire.com/api/characters/823', 'https://www.anapioficeandfire.com/api/characters/957', 'https://www.anapioficeandfire.com/api/characters/970']",https://www.anapioficeandfire.com/api/houses/10
